,index,Agriculture,Green space and recreational land,High density residential with retail and commercial sites,Industrial areas,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Principle Transport,Urban centres - mainly commercial/retail with residential pockets,Water,new_labels_0,new_labels_1,new_labels_2,new_labels_3,new_labels_4,new_labels_5,new_labels_6,new_labels_7,new_labels_8,supergroup
1,E00000477,0.0,2903.78,16697.7,0.0,0.0,10619.0,0.0,4229.39,0.0,0.0,1,2,3,3,5,1,4,4,4,3
2,E00006703,0.0,0.0,0.0,2738.67,0.0,45734.31,0.0,11016.06,0.0,0.0,5,2,4,5,3,1,2,3,2,5
3,E00004103,0.0,19211.47,0.0,0.0,0.0,69988.49,0.0,0.0,0.0,0.0,2,5,4,3,5,4,1,3,2,6
4,E00174942,0.0,0.0,7930.1,0.0,0.0,115.87,4782.97,0.0,0.0,0.0,5,1,1,6,4,1,4,3,5,3
5,E00019038,0.0,0.0,32436.25,0.0,0.0,0.0,0.0,0.0,99.38,0.0,5,1,5,5,4,4,4,4,1,5
6,E00003682,0.0,15417.1,25968.54,0.0,0.0,34052.79,0.0,0.0,0.0,0.0,1,4,3,0,0,4,4,4,1,6
7,E00017255,0.0,172.56,18959.98,0.0,0.0,28387.68,0.0,0.0,0.0,0.0,3,3,1,4,2,4,0,0,5,5
8,E00015128,0.0,0.0,0.0,0.0,0.0,44994.2,0.0,0.0,0.0,0.0,4,4,6,0,3,1,2,4,2,5
9,E00013041,0.0,0.0,0.0,0.0,0.0,34108.4,18146.64,0.0,0.0,0.0,1,1,6,0,0,4,2,2,1,5
10,E00015897,0.0,6861.77,3211.72,0.0,0.0,29092.93,249.42,0.0,250.4,0.0,1,3,5,0,0,1,0,4,1,3
11,E00012246,422.34,64061.39,0.0,0.0,0.0,34024.59,28891.87,2672.49,0.0,0.0,4,3,3,5,1,1,3,2,2,6
12,E00175000,0.0,0.0,0.0,6502.87,0.0,36348.48,0.0,0.0,0.0,174597.89,3,1,6,1,0,4,4,4,2,2
13,E00176280,0.0,499.39,17605.9,0.0,0.0,0.0,0.0,0.0,290.45000000000005,0.0,4,4,0,5,1,1,2,3,1,2
14,E00021532,0.0,0.0,4408.51,0.0,0.0,0.0,0.0,756.37,11830.41,70.4,3,4,4,3,1,4,1,2,2,2
15,E00000815,0.0,1988.7,12335.95,0.0,0.0,13327.43,0.0,0.0,0.0,0.0,1,6,5,0,3,4,4,2,0,5
16,E00013982,0.0,0.0,6399.219999999999,0.0,0.0,0.0,0.0,3365.12,5808.56,23.200000000000003,1,3,2,1,4,3,0,0,1,2
17,E00011362,0.0,793.1,0.0,0.0,0.0,6273.39,33947.78,0.0,0.0,0.0,2,1,4,3,2,3,0,0,5,7
18,E00000801,0.0,0.0,21435.06,1037.36,0.0,0.0,1.46,0.0,0.0,0.0,4,5,4,5,3,4,3,0,3,3
19,E00002251,0.0,2870.21,12978.73,0.0,0.0,19454.2,0.0,17710.0,0.0,0.0,0,0,0,0,0,1,0,0,1,8
20,E00019726,0.0,0.0,7362.85,0.0,0.0,0.0,6624.6,0.0,0.0,0.0,1,4,5,3,2,1,3,2,2,3
21,E00002043,0.0,0.0,0.0,0.0,0.0,5386.07,34780.61,0.0,0.0,0.0,3,5,3,5,5,4,1,1,4,5
22,E00007536,0.0,800.0,21567.03,0.0,0.0,24007.78,0.0,0.0,0.0,0.0,4,6,2,6,1,4,3,2,1,5
23,E00018733,0.0,224.69,0.0,0.0,0.0,34739.71,4306.53,0.0,0.0,0.0,4,5,5,1,4,1,2,4,4,5
24,E00020413,0.0,2686.82,121.07,0.0,25464.07,152445.28,6663.24,13476.39,456.82,0.0,1,5,2,0,0,1,0,0,1,5
25,E00017490,0.0,0.0,18318.62,0.0,0.0,0.0,0.0,0.0,6556.39,0.0,2,3,4,4,1,1,2,2,5,8
26,E00007947,0.0,0.0,13891.61,0.0,0.0,31803.47,0.0,0.0,0.0,0.0,2,5,6,1,4,4,3,2,2,8
27,E00015404,0.0,157.55,125.58,0.0,0.0,0.0,0.0,0.0,10636.59,0.0,2,4,5,3,5,1,3,1,2,3
28,E00008057,0.0,2418.52,2410.76,0.0,0.0,9172.87,2.79,3153.54,0.0,0.0,1,1,0,2,3,4,4,3,1,3
29,E00008336,0.0,0.0,14514.68,0.0,0.0,0.0,0.0,0.0,30.04,0.0,2,4,2,3,3,1,2,4,3,5
30,E00005285,0.0,111813.64,14089.44,0.0,0.0,17020.379999999997,10497.75,0.0,0.0,0.0,2,1,1,1,3,2,1,4,2,8
31,E00168079,0.0,0.0,3942.73,0.0,61.44,0.0,0.0,3578.6,19184.77,0.0,0,0,0,0,0,1,0,0,0,3
32,E00012783,0.0,6890.580000000001,0.0,0.0,0.0,4263.42,0.0,4306.44,28926.05,0.0,2,1,2,4,4,1,0,4,1,8
33,E00174943,0.0,0.0,8632.56,0.0,0.0,56.35,327.22,0.0,0.0,0.0,5,3,6,4,4,1,2,2,1,2
34,E00016378,0.0,11646.67,1512.4,0.0,0.0,18438.93,22151.99,140.54,0.0,0.0,1,0,2,0,4,1,0,0,1,5
35,E00002040,0.0,0.0,7.82,0.0,0.0,5498.03,23755.89,0.0,0.0,0.0,4,6,6,3,5,4,1,2,4,3
36,E00175109,0.0,55200.0,52596.55,13754.81,0.0,1095.11,44.54,17912.01,0.0,25730.06,1,0,0,0,0,1,0,4,0,2
