,feature,importance
2,High density residential with retail and commercial sites,0.09
5,Low density residential with amenities (suburbs and small villages / hamlets),0.1
7,Principle Transport,0.26
1,Green space and recreational land,0.1
6,Medium density residential with high streets and amenities,0.07
8,Urban centres - mainly commercial/retail with residential pockets,0.08
3,Industrial areas,0.07
10,supergroup,0.09
4,Large complex buildings various use (travel/recreation/ retail),0.09
9,Water,0.04
0,Agriculture,0.02
