infuse_oa_lyr_2011,new_labels
E00000001,2
E00000003,3
E00000005,0
E00000007,0
E00000010,3
E00000012,5
E00000013,3
E00000014,4
E00000016,5
E00000017,0
E00000018,1
E00000019,3
E00000020,6
E00000021,0
E00000022,5
E00000023,6
E00000024,0
E00000025,0
E00000026,0
E00000027,0
E00000028,0
E00000029,0
E00000030,0
E00000031,3
E00000032,5
E00000035,0
E00000037,4
E00000038,3
E00000039,5
E00000040,4
E00000041,6
E00000042,5
E00000043,5
E00000045,2
E00000046,6
E00000048,4
E00000049,4
E00000050,6
E00000051,6
E00000052,2
E00000053,5
E00000054,0
E00000055,5
E00000056,0
E00000057,6
E00000059,6
E00000060,4
E00000061,3
E00000062,3
E00000063,3
E00000064,4
E00000065,5
E00000066,4
E00000067,5
E00000068,5
E00000069,5
E00000070,4
E00000071,3
E00000072,4
E00000073,2
E00000074,4
E00000075,4
E00000076,5
E00000077,0
E00000078,2
E00000079,3
E00000080,3
E00000081,6
E00000082,3
E00000083,5
E00000084,6
E00000085,3
E00000086,1
E00000087,4
E00000088,5
E00000090,4
E00000091,3
E00000092,4
E00000093,0
E00000094,6
E00000095,3
E00000096,0
E00000097,0
E00000098,1
E00000099,3
E00000100,6
E00000101,2
E00000102,5
E00000103,5
E00000104,3
E00000106,3
E00000107,6
E00000108,4
E00000109,5
E00000110,3
E00000111,4
E00000112,2
E00000113,5
E00000114,4
E00000115,3
E00000116,4
E00000117,5
E00000118,3
E00000119,4
E00000120,3
E00000121,1
E00000122,4
E00000123,5
E00000124,5
E00000125,1
E00000126,1
E00000127,3
E00000128,2
E00000129,5
E00000130,1
E00000131,6
E00000132,4
E00000133,6
E00000134,5
E00000135,3
E00000136,6
E00000137,6
E00000138,3
E00000139,6
E00000140,2
E00000141,3
E00000142,6
E00000143,5
E00000144,6
E00000145,1
E00000146,1
E00000147,1
E00000148,4
E00000149,2
E00000150,4
E00000151,1
E00000152,1
E00000153,4
E00000154,4
E00000155,5
E00000156,4
E00000157,1
E00000158,3
E00000159,2
E00000160,3
E00000161,5
E00000162,6
E00000163,5
E00000164,2
E00000165,6
E00000166,2
E00000167,4
E00000168,5
E00000169,5
E00000170,5
E00000171,1
E00000172,5
E00000173,3
E00000174,0
E00000175,0
E00000176,1
E00000177,3
E00000178,4
E00000179,4
E00000180,0
E00000181,4
E00000182,3
E00000183,1
E00000184,4
E00000185,5
E00000186,3
E00000187,4
E00000188,6
E00000189,6
E00000190,1
E00000191,6
E00000192,6
E00000193,4
E00000194,4
E00000195,6
E00000196,2
E00000197,4
E00000198,6
E00000199,0
E00000200,4
E00000201,5
E00000202,2
E00000203,4
E00000204,1
E00000205,6
E00000206,4
E00000207,4
E00000208,1
E00000209,6
E00000210,5
E00000211,6
E00000212,4
E00000213,1
E00000214,3
E00000215,2
E00000216,1
E00000217,4
E00000218,5
E00000219,4
E00000220,4
E00000221,4
E00000222,3
E00000223,3
E00000224,6
E00000225,1
E00000226,0
E00000227,3
E00000228,6
E00000229,5
E00000230,5
E00000231,3
E00000232,1
E00000234,5
E00000235,3
E00000236,1
E00000237,6
E00000238,3
E00000239,4
E00000240,2
E00000241,6
E00000242,1
E00000243,1
E00000244,3
E00000245,5
E00000246,3
E00000247,6
E00000248,6
E00000249,3
E00000250,6
E00000251,4
E00000252,4
E00000253,1
E00000255,6
E00000257,0
E00000258,4
E00000259,6
E00000260,5
E00000261,3
E00000263,6
E00000264,3
E00000265,6
E00000266,6
E00000267,0
E00000268,2
E00000269,2
E00000270,3
E00000271,3
E00000272,5
E00000273,3
E00000274,3
E00000275,3
E00000276,3
E00000277,4
E00000278,3
E00000279,3
E00000280,0
E00000282,1
E00000283,4
E00000284,3
E00000285,3
E00000286,6
E00000287,4
E00000288,3
E00000289,4
E00000290,4
E00000291,4
E00000292,5
E00000293,3
E00000294,4
E00000295,4
E00000296,1
E00000297,3
E00000298,3
E00000299,4
E00000300,3
E00000301,6
E00000302,6
E00000303,3
E00000304,6
E00000305,1
E00000306,4
E00000307,4
E00000308,1
E00000309,3
E00000310,4
E00000311,6
E00000312,4
E00000313,4
E00000314,6
E00000315,5
E00000316,3
E00000317,2
E00000318,6
E00000319,2
E00000320,5
E00000321,0
E00000322,4
E00000323,4
E00000324,5
E00000325,3
E00000326,3
E00000327,1
E00000328,3
E00000329,4
E00000330,5
E00000331,1
E00000332,5
E00000333,2
E00000334,6
E00000335,2
E00000336,3
E00000337,3
E00000338,6
E00000339,1
E00000340,1
E00000341,1
E00000342,1
E00000343,2
E00000344,4
E00000345,4
E00000346,1
E00000347,4
E00000348,3
E00000349,6
E00000350,1
E00000351,1
E00000352,0
E00000353,5
E00000354,5
E00000355,5
E00000356,3
E00000357,6
E00000358,1
E00000360,6
E00000361,1
E00000362,4
E00000363,4
E00000364,3
E00000365,3
E00000366,5
E00000367,5
E00000368,4
E00000369,6
E00000370,2
E00000371,3
E00000372,4
E00000373,4
E00000374,6
E00000375,4
E00000376,4
E00000377,3
E00000378,1
E00000379,1
E00000380,4
E00000381,4
E00000382,2
E00000383,1
E00000384,1
E00000385,4
E00000386,4
E00000387,3
E00000388,3
E00000389,3
E00000390,2
E00000391,4
E00000392,1
E00000393,5
E00000394,1
E00000395,0
E00000396,3
E00000397,6
E00000398,5
E00000399,6
E00000400,5
E00000401,3
E00000402,6
E00000403,5
E00000404,6
E00000405,2
E00000406,1
E00000407,5
E00000408,4
E00000409,2
E00000411,2
E00000412,3
E00000413,1
E00000414,4
E00000415,6
E00000416,5
E00000417,6
E00000418,4
E00000419,6
E00000420,6
E00000421,3
E00000422,2
E00000423,3
E00000424,6
E00000425,3
E00000426,4
E00000427,1
E00000428,6
E00000429,3
E00000430,6
E00000431,0
E00000432,4
E00000433,4
E00000434,0
E00000435,3
E00000436,4
E00000437,3
E00000438,4
E00000439,5
E00000440,3
E00000441,5
E00000442,4
E00000443,2
E00000444,6
E00000445,6
E00000446,3
E00000447,2
E00000448,5
E00000449,5
E00000450,3
E00000451,6
E00000452,3
E00000453,0
E00000454,4
E00000455,3
E00000456,2
E00000457,0
E00000458,0
E00000460,6
E00000461,2
E00000462,6
E00000463,0
E00000464,0
E00000465,6
E00000466,5
E00000467,4
E00000468,6
E00000469,4
