,labels
0,4
1,2
2,1
3,0
4,0
5,1
6,4
7,5
8,2
9,0
10,4
11,0
12,2
13,0
14,2
15,5
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,0
26,4
27,5
28,2
29,4
30,1
31,1
32,3
33,1
34,4
35,1
36,2
37,3
38,0
39,4
40,0
41,1
42,0
43,0
44,1
45,0
46,4
47,0
48,0
49,1
50,0
51,4
52,1
53,1
54,1
55,0
56,2
57,2
58,5
59,4
60,0
61,0
62,4
63,1
64,0
65,1
66,0
67,0
68,5
69,0
70,1
71,4
72,3
73,1
74,1
75,1
76,1
77,3
78,0
79,3
80,1
81,0
82,4
83,1
84,1
85,0
86,2
87,3
88,2
89,1
90,4
91,5
92,1
93,2
94,1
95,5
96,1
97,5
98,1
99,1
100,1
101,2
102,4
103,2
104,0
105,4
106,5
107,5
108,2
109,0
110,4
111,0
112,3
113,0
114,1
115,5
116,2
117,4
118,2
119,0
120,0
121,1
122,0
123,0
124,5
125,1
126,3
127,0
128,1
129,0
130,2
131,0
132,0
133,1
134,0
135,4
136,0
137,2
138,4
139,1
140,1
141,1
142,4
143,0
144,1
145,2
146,1
147,4
148,1
149,3
150,3
151,1
152,4
153,4
154,1
155,1
156,1
157,1
158,0
159,0
160,3
161,1
162,1
163,2
164,0
165,0
166,2
167,0
168,1
169,4
170,1
171,1
172,4
173,0
174,0
175,0
176,4
177,0
178,1
179,0
180,5
181,5
182,4
183,1
184,2
185,0
186,4
187,2
188,5
189,2
190,4
191,4
192,2
193,1
194,4
195,5
196,4
197,4
198,0
199,1
200,1
201,0
202,0
203,4
204,1
205,4
206,1
207,1
208,0
209,0
210,0
211,1
212,4
213,4
214,4
215,0
216,0
217,0
218,1
219,2
220,5
221,2
222,5
223,0
224,2
225,2
226,0
227,0
228,4
229,0
230,0
231,1
232,0
233,4
234,1
235,1
236,1
237,4
238,5
239,0
240,5
241,1
242,3
243,4
244,1
245,4
246,1
247,1
248,3
249,0
250,1
251,4
252,4
253,0
254,5
255,2
256,2
257,4
258,0
259,2
260,2
261,2
262,4
263,1
264,5
265,2
266,0
267,4
268,0
269,0
270,1
271,3
272,4
273,5
274,5
275,1
276,1
277,3
278,1
279,4
280,1
281,4
282,2
283,4
284,1
285,4
286,0
287,1
288,0
289,5
290,0
291,0
292,4
293,4
294,1
295,1
296,5
297,5
298,4
299,4
300,1
301,0
302,0
303,1
304,1
305,4
306,1
307,0
308,0
309,3
310,1
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,4
319,1
320,1
321,1
322,4
323,1
324,4
325,4
326,4
327,2
328,1
329,1
330,1
331,0
332,4
333,1
334,5
335,4
336,1
337,0
338,1
339,5
340,1
341,1
342,0
343,5
344,1
345,0
346,2
347,0
348,4
349,0
350,1
351,1
352,3
353,3
354,0
355,2
356,3
357,2
358,5
359,0
360,0
361,1
362,1
363,1
364,1
365,0
366,2
367,1
368,4
369,2
370,4
371,5
372,3
373,0
374,0
375,1
376,1
377,1
378,0
379,1
380,1
381,2
382,5
383,5
384,0
385,1
386,1
387,3
388,1
389,1
390,1
391,4
392,4
393,3
394,0
395,0
396,0
397,5
398,1
399,4
400,5
401,0
402,1
403,4
404,3
405,2
406,4
407,3
408,1
409,0
410,4
411,0
412,2
413,4
414,2
415,3
416,1
417,0
418,1
419,1
420,1
421,1
422,2
423,0
424,3
425,4
426,1
427,1
428,4
429,0
430,1
431,3
432,0
433,4
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,2
443,2
444,3
445,1
446,0
447,0
448,0
449,1
450,2
451,1
452,5
453,0
454,5
455,0
456,1
457,0
458,2
459,0
460,1
461,1
462,0
463,2
464,0
465,0
466,0
467,1
468,5
469,0
470,1
471,2
472,4
473,0
474,1
475,3
476,4
477,0
478,1
479,3
480,1
481,1
482,4
483,1
484,1
485,5
486,1
487,4
488,4
489,4
490,2
491,4
492,5
493,1
494,3
495,1
496,2
497,4
498,2
499,1
500,1
501,3
502,3
503,1
504,1
505,4
506,3
507,4
508,0
509,1
510,1
511,1
512,0
513,2
514,0
515,0
516,0
517,5
518,4
519,3
520,1
521,0
522,0
523,4
524,4
525,4
526,4
527,0
528,2
529,4
530,1
531,5
532,3
533,1
534,2
535,0
536,4
537,5
538,1
539,5
540,4
541,1
542,5
543,0
544,4
545,1
546,3
547,0
548,4
549,4
550,0
551,5
552,4
553,0
554,0
555,5
556,4
557,1
558,0
559,1
560,3
561,0
562,1
563,1
564,4
565,1
566,0
567,2
568,1
569,1
570,3
571,0
572,0
573,4
574,1
575,5
576,1
577,3
578,2
579,2
580,4
581,0
582,0
583,0
584,4
585,0
586,2
587,0
588,2
589,1
590,0
591,3
592,3
593,5
594,2
595,2
596,4
597,3
598,5
599,2
600,1
601,1
602,4
603,2
604,4
605,1
606,1
607,2
608,0
609,1
610,0
611,4
612,5
613,0
614,2
615,2
616,4
617,5
618,5
619,2
620,1
621,1
622,4
623,0
624,3
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,0
635,1
636,2
637,0
638,1
639,2
640,0
641,1
642,0
643,2
644,1
645,0
646,0
647,4
648,1
649,0
650,0
651,0
652,0
653,2
654,4
655,2
656,0
657,1
658,0
659,3
660,1
661,2
662,1
663,5
664,0
665,2
666,1
667,1
668,0
669,0
670,5
671,0
672,0
673,1
674,3
675,0
676,3
677,2
678,0
679,1
680,0
681,0
682,0
683,2
684,5
685,1
686,4
687,0
688,1
689,3
690,0
691,4
692,0
693,0
694,1
695,0
696,3
