,infuse_oa_lyr_2011,new_labels
0,E00000001,4
1,E00000003,2
2,E00000005,0
3,E00000007,0
4,E00000010,2
5,E00000012,0
6,E00000013,0
7,E00000014,2
8,E00000016,2
9,E00000017,0
10,E00000018,0
11,E00000019,0
12,E00000020,0
13,E00000021,0
14,E00000022,2
15,E00000023,2
16,E00000024,0
17,E00000025,0
18,E00000026,0
19,E00000027,0
20,E00000028,0
21,E00000029,0
22,E00000030,0
23,E00000031,4
24,E00000032,2
25,E00000035,0
26,E00000037,4
27,E00000038,3
28,E00000039,4
29,E00000040,0
30,E00000041,3
31,E00000042,2
32,E00000043,4
33,E00000045,2
34,E00000046,2
35,E00000048,4
36,E00000049,2
37,E00000050,1
38,E00000051,0
39,E00000052,3
40,E00000053,3
41,E00000054,2
42,E00000055,1
43,E00000056,0
44,E00000057,0
45,E00000059,2
46,E00000060,0
47,E00000061,0
48,E00000062,2
49,E00000063,4
50,E00000064,4
51,E00000065,2
52,E00000066,1
53,E00000067,4
54,E00000068,3
55,E00000069,2
56,E00000070,4
57,E00000071,2
58,E00000072,3
59,E00000073,4
60,E00000074,3
61,E00000075,4
62,E00000076,2
63,E00000077,0
64,E00000078,1
65,E00000079,3
66,E00000080,4
67,E00000081,0
68,E00000082,4
69,E00000083,2
70,E00000084,3
71,E00000085,0
72,E00000086,1
73,E00000087,0
74,E00000088,2
75,E00000090,0
76,E00000091,2
77,E00000092,3
78,E00000093,2
79,E00000094,2
80,E00000095,2
81,E00000096,0
82,E00000097,3
83,E00000098,0
84,E00000099,0
85,E00000100,4
86,E00000101,3
87,E00000102,4
88,E00000103,0
89,E00000104,2
90,E00000106,3
91,E00000107,4
92,E00000108,3
93,E00000109,1
94,E00000110,3
95,E00000111,3
96,E00000112,2
97,E00000113,4
98,E00000114,2
99,E00000115,2
100,E00000116,2
101,E00000117,3
102,E00000118,1
103,E00000119,2
104,E00000120,4
105,E00000121,2
106,E00000122,2
107,E00000123,4
108,E00000124,3
109,E00000125,2
110,E00000126,3
111,E00000127,2
112,E00000128,3
113,E00000129,1
114,E00000130,4
115,E00000131,1
116,E00000132,0
117,E00000133,2
118,E00000134,3
119,E00000135,0
120,E00000136,3
121,E00000137,3
122,E00000138,0
123,E00000139,0
124,E00000140,0
125,E00000141,2
126,E00000142,2
127,E00000143,1
128,E00000144,2
129,E00000145,0
130,E00000146,3
131,E00000147,0
132,E00000148,0
133,E00000149,0
134,E00000150,0
135,E00000151,3
136,E00000152,0
137,E00000153,2
138,E00000154,2
139,E00000155,4
140,E00000156,3
141,E00000157,2
142,E00000158,2
143,E00000159,4
144,E00000160,2
145,E00000161,3
146,E00000162,0
147,E00000163,0
148,E00000164,3
149,E00000165,2
150,E00000166,4
151,E00000167,3
152,E00000168,3
153,E00000169,0
154,E00000170,4
155,E00000171,4
156,E00000172,3
157,E00000173,0
158,E00000174,2
159,E00000175,0
160,E00000176,4
161,E00000177,0
162,E00000178,4
163,E00000179,2
164,E00000180,0
165,E00000181,0
166,E00000182,4
167,E00000183,4
168,E00000184,3
169,E00000185,0
170,E00000186,3
171,E00000187,2
172,E00000188,1
173,E00000189,0
174,E00000190,0
175,E00000191,0
176,E00000192,2
177,E00000193,3
178,E00000194,3
179,E00000195,0
180,E00000196,3
181,E00000197,2
182,E00000198,3
183,E00000199,0
184,E00000200,3
185,E00000201,4
186,E00000202,0
